	6
 廖宗廷	1
刘子振	1
随风贵	1
张朝亮	1
刘宏宇	1
康吉昌	3
胡远清	1
宋云飞	1
崔燕丽	1
周纪	1
肖音	1
张文翔	2
王晓昌	1
王维玉	2
赵思健	1
肖焕钦	2
王晓明	1
 徐东厚	1
和海霞	1
梅惠杰	1
李尧	1
张晓晖	1
赵正望	1
黎小刚"	1
张晓普	2
雷礼钢	1
　 赵财胜	1
陈宁生	1
黄显艺	1
刘贵芬	1
魏丽	2
王代连	1
董月霞	3
 肖国望	1
苏劲	1
王翠华	5
张敬艺	1
杨高学	1
赵春虎	1
徐根洪	1
戴吾蛟	1
白龙	1
曲杰	2
"Valero,H.P.2300^a李霞"	1
陈永生	2
刘家国	1
艾晓军	2
姜晓轶	1
程旭学	1
林博	2
吴艳	2
艾传志	1
熊继有	2
卢秀丽	1
谢结来	1
李传生	1
郑颖人	6
吴艺	1
高山	3
付金华	1
余剑平	1
"Henderson,G.M．2300^a刘平"	1
时建民	1
李超群	1
方赟	1
肖静	2
陈海云	1
殷志强	1
冯有良	4
王怀厂	1
鲍陈阳	1
裴建军	1
王彦春	2
王延玲	1
张建宁	3
高岗	6
李玉丽	1
冷济高	2
陈立辉	2
李山	1
梁中合	1
刘玲花	1
魏东	1
陈启林	18
郭芬	1
蔡立群	1
张伯艳	1
李燕花	1
曾敏	2
陶自强	1
吴礼生	1
万里皋	1
李长生	1
高珍权	4
孙青	1
赵毅宾	1
冯常茂	1
李宏	1
胡俊	1
王明洋	1
Klemd,R."	2
景盈	1
孟红星	3
曹明	1
朱留芳	1
张红兵	1
孙静	2
孙晓霞	1
曹兴山	1
谢新宇	1
苟健	2
杜乐天	4
罗群	7
 刘群星	1
孙革	2
张晓明	1
崔军平	5
郭芳	2
朱彪	1
曹昱	1
向宏发	2
王国平	4
张红军	1
宋战平	2
卜心国	2
罗兴平	1
张智慧	1
方胜强	1
张晓春	1
陈沅江	1
曹春	1
王国庆	3
郭一民	1
杜娟	1
潘军	4
 王思德	1
陈守田	2
赵德志	1
梁诗经	3
倪红梅	1
曹晖	1
叶建伟	1
曾新	1
熊延望	1
 史成恩	1
张鹏飞"	1
杨应迪	1
夏敦胜	3
方晓波	1
孔令洪	1
金晶	1
肖光铭	1
赵永久	1
祁顺德	1
熊平生	1
游珍	1
张健平	1
史新鹏	1
李亚萍	4
查恩来	1
武敏捷	2
谢运球	4
李正国	2
孙雄	1
杨威	4
冯佐海	2
覃锋	1
高玉淑	1
刘力强	2
苏玉柱	3
赵志宽	1
李俊彦	1
杨娟	1
孟永良	1
郭泽清	3
曹玉香	2
王敏芳	3
明治良	1
许国武	2
毛定山	1
王美平	1
陈劭锋	1
黄文革	1
王庆良	2
王俊生	1
杨建英	1
鞠明渊	1
姚素平	3
吴庆明	1
苏宏灿	1
许健	1
张江齐	1
李薇薇	1
王国峰	1
李俊德	1
苏军	1
杨婕	2
李惠民	7
肖安成	5
魏伟	6
胡祖志	1
李仲秋	1
曲永新	2
潘健	1
谷天峰	2
赵仁亮	1
　 张晓梅　	1
易维启	1
李岩	3
金明	4
苏克	3
郑大林	2
郑恩玖	8
孙陶	1
陈小斌	1
吴英	2
陈小文	1
唐朝生	2
李俊建	2
吴志山	1
曾晟	1
佘成学	1
胡加山	1
周云麟	1
姜国虎	1
谢文彦	1
 梅再美	1
潘瑜春	1
高仁祥	2
高俊奎	1
高振会	1
刘宁强	1
唐丽华	1
王维熙	1
王郁柏	2
左敦南	1
沈鸿坡	1
高峰	3
刘宇平	3
尹占军	2
田幽军	1
尚晓颖	1
杨春霞	1
胡伟	1
曹姝旻	4
陈浩凤	1
孙延贵	2
王明江	1
覃新闻	2
张介辉	1
李峰	9
高鹏鹏	1
张廷山	10
林君	6
乔占峰	1
曲红专	1
林锦富	1
吴忠宝	2
罗维	1
金翔龙	3
赵志平	1
耿晔	2
肖富	1
Weller,G.	1
王志平	1
黄宏伟	8
赵建社	1
肖寒	1
罗艳	1
李大佛	1
田树刚	1
杨卜	1
罗良	1
蒋海云	1
李献华	1
张春牛	1
杜德平	2
马林	1
齐德利	1
杨华	5
吕成文	1
谈耀麟	2
丁亚军	1
李夕兵	6
魏历灵	1
陶国亮	1
郭书太	2
sler,W.	1
朱华平	1
李亚荣	5
唐旭	1
 王裕	1
李信富	1
任亚平	2
漆滨汶	2
常中华	3
任伟中	1
耿昕	1
李大伟	2
沈忠悦	2
王海金	1
许冰	2
郑达兴	1
崔栋梁	1
冉隆辉	2
胡钧	1
 胡世学	1
程泽海	1
曾忠	2
刘端锋	1
胡钰	1
孙思敏	1
肖学	2
胡剑	1
许传华	1
毕俊凤	1
旺罗	1
周武华	1
吴国学	3
任留东	2
刘慧香	1
徐桂明	1
唐善茂	1
潘信	2
张仁陟	1
三金柱	4
高媛	2
耿旭	1
孙野	1
郑意春	1
刘超群	2
赵正文	1
康艳梅	5
王春梅	1
李嘉	2
栾丰实	1
张景森	1
郑翔	1
郭艳琴	5
吴秀杰	2
王建秀	3
吉利明	3
高玉生	1
金惠	2
朱晓琼	1
秦承志	2
郝建秀	1
吕莹	1
胡刚	1
陈长贞	1
段爱丽	1
杨勇	6
曹正林	3
吴耀	1
孙晓锋	1
郭平业	1
宋秀娟	2
付兆辉	1
赵云升	1
张明瑜	1
骆永明	8
郧文聚	2
陈泽富	2
朱奎	1
 王立全	1
赵德成	2
徐天德	1
于正军	1
耿斌	1
胡凯	5
张洪茂	1
刘兴艳	2
马宗科	3
牛文林	1
于友成	1
孙永革	2
许惠平	2
吴志坚	1
姜树叶	1
黄长生	1
喻健	1
吕莉	1
刘家军	5
冯志仁	1
王洋龙	2
滕永海	2
吴国富	1
孙清德	1
"White,W.B.	1
高宁	1
孙佰仲	1
邵芸	1
黄宏业	5
欧阳宁平	1
王昭明	1
孙以德	2
喻刻	1
黄卿团	1
许人平	2
郑炳旭	1
马寅生	12
楚建周	2
蔡福龙	3
王延章	4
张建平	1
肖家平	1
潘伟	1
况代智	1
　 王明镇　 	1
崔木花	2
李际平	1
李佐汉	1
李坤	2
王春朝	1
王国建	2
胡军	2
肖力新	1
任旭华	1
吴建军	1
 岳来群	1
赵忠岩	2
王志强	11
范军	3
张晓武	1
申红霞	1
周余国　 	1
秦伯强	1
王新生	1
刘子平	1
胡克	4
谢红梅	1
史原轲	3
璩继立	1
林丽	6
范兵	1
刘全艳	1
轩义华	1
王清良	1
邱芳	3
汤加富	1
李围	2
杜国平	1
赵志峰	1
张延庆	1
夏文臣	1
陈海丰	1
贺新蔚	1
易顺民	1
王春松	1
高玉琴	1
季丽丹	1
姜忻良	2
薛耀松	1
李丽贤	2
李世金	1
万宗礼	1
唐晖	1
李锦育	1
滕应	2
赵中平	1
Nonna,B.C.	1
王彦海	1
孙书滨	1
李俊峰	2
邱荣祖	2
赵来时	2
唐志军	2
陈升胜	1
周正华	1
唐园园	1
章卫星	1
郭晓刚	2
 孙立新	1
赵明辉	3
唐德善	2
石磊	3
董立国	3
尹祥础	2
吴开兴	2
沈中延	1
张新红	2
周玉斌	1
蒋和平	1
崔军文	7
孙洪礼	1
孙耀华	1
凌宏文	1
王群威	1
毛孟才	1
黄锦绣	1
董天文	1
王春来	1
李秋生	6
马文	1
赵彦清	1
许华	5
郭铁恩	2
林大丰	1
许卓	2
向芳	3
程淑兰	1
张建彬	1
孙万禾	1
胡咏	2
顾洪琴	1
郑良	1
高俊合	1
张红丽	1
蒋世全	1
"唐发伟	1
吴建勇	1
马斌	1
皮金云	2
郭文杰	4
潘华璋	1
朱定	2
程明华	1
张建强	1
戴家才	1
孙湘君	3
宋胜浩	2
聂占福	1
殷守敬	1
赵志忠	1
任以发	2
汪学武	1
王恒中	1
朱益军	1
姜中卫	1
Qinming ,Y.	1
王文科	6
陶松垒	2
周介铭	1
张文若	1
"汪啸风	1
徐思煌	3
冯建林	2
朱宁	1
李堃	1
叶新民	2
杨林海	2
"Kranjc,A.2300^a黄保健	1
李彦鹏	1
高堂	1
 左新玉　 	1
林伟	2
赵建章	1
杨志法	6
 潘家永　	1
曾青石	1
黎明晓	3
 Guilbault, J. P.	1
仲晓星	2
王云鹏	5
林云芳	1
李垚	1
郭丙政	1
 杨玉贞	1
孙翠娟	1
徐桂林	1
潘竟虎	2
方裕	1
陈珍宝	1
郑舰	1
张朝军	4
李多丽	1
郭纯	2
尹功明	4
崔巍	1
张淑泉	1
王春晖	1
马晶	1
贾立新	1
张海祖	2
柳保军	1
冯东霞	1
孙锡杰	1
黄雄伟	1
张余芝	1
李中超	1
严忠琼	1
刘顺喜	3
甘会春	1
华魏	1
黄有泉	1
张文艺	3
 赵兴国	1
潘文庆	5
吴开化	1
吴群	6
程方平	2
艾彬	1
唐国勇	1
孟维彦	1
张海祥	1
于福生	5
董光荣	4
 赵兰坡	1
王维泰	1
李振春	5
 Mason, J.	1
王晓形	1
"陈杰	1
杜世宏	1
郭丽彬	1
朱晓燕	2
曹捷	2
王红岩　 	1
陈守煜	1
杨来生	1
吴德宽	1
胡博	3
黄学光	2
王美娜	2
王恕一	2
王晓强	2
赵葵东	4
沈文杰	1
顾家伟	1
杨占龙	18
陶海燕	1
吕茜	1
张清林	1
曾承	1
车家骧	1
程水英	1
陈兆明"	2
曹振	1
黄耀华	1
赵裕辉	1
赵世强	1
张建忠	1
"Naylor,M．A．2300^a张丹荣"	1
吴煜宇	1
高静怀	3
王修田	1
向荣	5
马昕	1
郭洪泉	1
张银海	1
王代长	1
李志辉	2
刘安娜	1
尹睿	1
吕苗	1
童劲松	5
钟康惠	3
陈浩一	1
孙继省	1
姚林波	1
杜坚	1
周跃宗	2
胡顺军	1
王明格	2
胡勇	6
杨自辉	1
董天林	1
侯国栋	1
苏金蓉	1
赵瑞强	1
蔡永恩	2
范五一	1
张锡栋	1
甘义群	1
岳梅	2
王忠岱	1
张本仁	4
 郑有业	1
王彦武	1
罗芳	1
朱明秋	2
石岩	1
洪祖寅	1
朱文耀	1
张建军	7
孟中华	1
陈璋如	1
吴桑云	2
刘兴超	1
胡霞	1
张甘霖	5
李永勇	1
李奋强	1
崔广柏	3
魏文寿	1
苏永华	1
陈永灿	1
吴志才	1
雷裕红	3
孙广金	1
王均模	1
李江东	1
舒良树	13
席斌斌	1
李伟涛	1
刘青松	2
夏广伟	1
耿梅	1
夏祖春	8
贺若兰	2
徐夕生	3
殷积峰	2
尚锋	1
刘兴起	5
邓美寅	1
申屠超	1
闫桂京	5
李振宏	7
高永娟	1
 张越迁	1
曹连海	1
李振宇	2
王志君	1
 张学君	1
杨芝林	1
胡雄	3
梁金龙	10
陆海军	2
吴建平	4
周慧成	3
曾光明	2
张钦礼	1
段秋梁	1
张林堂	1
 左爱利	2
马君	1
屈迅	1
明冬萍	2
张效龙	4
翟宪兰	1
赵万优	1
孙建芳	1
肖平	1
