驱龙	-87.18098449707031
空区	-87.08817291259766
差体	-86.99705505371094
核素	-86.6211929321289
石蛋	-86.25259399414062
泰康	-85.67875671386719
体岩	-85.670654296875
尾波	-85.64403533935547
分维	-85.45591735839844
关岭	-85.20795440673828
钻速	-85.11209106445312
鲕滩	-85.0938720703125
山型	-84.65065002441406
桩侧	-84.62165832519531
西段	-84.22666931152344
康托	-84.21528625488281
古格	-84.13987731933594
围压	-83.95149230957031
波层	-83.9044189453125
干振	-83.76634216308594
邮凹	-83.65711975097656
热史	-83.60270690917969
探区	-83.44590759277344
工法	-83.28369140625
蒙特	-83.26667785644531
母岩	-83.23079681396484
欧拉	-83.05409240722656
相控	-82.80819702148438
煤岩	-82.78702545166016
巨猿	-82.65821838378906
高含水	-82.58097839355469
主孔	-82.31401062011719
柴东	-82.30537414550781
包气	-82.20782470703125
侵作	-82.20721435546875
超静	-82.18197631835938
流形	-81.99507141113281
西南地区	-81.45393371582031
孢粉	-81.42861938476562
辫状	-81.36473083496094
抗力	-81.24540710449219
富蕴	-81.16365814208984
相带	-80.87826538085938
薄层	-80.49209594726562
摩阻	-80.11495971679688
太古宙	-80.07601928710938
东南地区	-79.99833679199219
凯蒙	-79.97379302978516
大别	-79.96635437011719
坡位	-79.82594299316406
水区	-79.69125366210938
嵌岩	-79.52320098876953
越流	-79.51190185546875
层型	-79.45503234863281
桩端	-79.21715545654297
飞仙	-78.72114562988281
台湾海峡	-78.6373291015625
钻具	-78.62008666992188
圆孔	-77.8999252319336
鲁北	-77.81671905517578
地体	-77.620361328125
点位	-77.60997009277344
垫层	-77.59930419921875
震积	-77.35940551757812
抗滑	-77.16560363769531
北部湾盆地	-77.1123275756836
水驱	-76.97624206542969
夯法	-76.89004516601562
井身	-76.30914306640625
岩相	-75.98654174804688
阳原	-75.961181640625
滑塌	-75.67902374267578
折带	-75.18072509765625
探地	-75.0863265991211
回线	-75.0811767578125
布拉克	-75.01956176757812
藏南	-74.14584350585938
回弹	-73.9179458618164
陆内	-73.45118713378906
折减	-72.91671752929688
彭水水电站	-72.90511322021484
阿尔哈达	-72.86373901367188
水资源量	-72.73914337158203
北西	-72.69784545898438
发展权	-72.50747680664062
粉土	-71.92915344238281
管钻进	-71.69586181640625
卡尔曼	-70.21708679199219
滑带土	-68.0092544555664
塌陷区	-67.85755920410156
张量格林函数	-67.3150634765625
功能区	-66.3064956665039
超大陆	-65.83662414550781
布鲁克	-65.82904052734375
孤立型	-65.45577239990234
合肥盆地	-64.75862884521484
磁化率	-64.69218444824219
山地区	-63.680747985839844
岩石物性	-63.62335205078125
自动机	-62.801143646240234
伊犁盆地	-62.17337417602539
堆积物	-62.02398681640625
核磁共振测	-61.7541618347168
粘塑性	-61.23752212524414
适宜性	-60.941314697265625
地层水矿化度	-59.9459228515625
库兹涅茨	-59.42070007324219
碳酸盐岩储层	-59.41269302368164
过渡区	-58.90447235107422
荧光光谱法	-58.76153564453125
热演化史	-58.72577667236328
大地电磁法	-58.58251190185547
收获率	-58.24077606201172
扬子区	-57.89396667480469
相软土	-57.4854850769043
浸染型	-56.65565490722656
