军事贸易	军贸
全民所有制商业	国有商业
火箭部队通信	导弹部队通信
商品储备库	仓库
仔免权限	任免权
擅自离认	私自离队
禁伐禁猎区	自然保护区
珍贵野生动物	珍稀野生动物
石油输出国组织	欧佩克
工作宗旨	工作目的
药物副反应	药物不良反应
处理设备	处理装备
野外驻训	野营训练
空管	空中管制
武器装备调整	装备调整
武器装备质检	装备质检
国际儿童节	六一儿童节
封山	封山育林
台海关系	两岸关系
军队群众工作	群众工作
音频电报	载波电报
飞行管制建设	空管建设
灾情调查	灾害调查
抽样	采样
小震	有感地震
归国侨民	归侨
赤道槽	热带辐合带
财团法人海峡交流基金会	海基会
人民来信来访	信访
铁路货车	货物列车
装备发展管理	装备研制管理
民政	抚恤费
总金额	总额
和平统一祖国	和平统一问题
全国人民代表大会常委委员会委员长	委员长
薪水	工资
原始凭证	会计凭证
小规模战争	局部战争
清洗机	洗衣机
地对地导弹	地地导弹
核工	核工业
祖国和平统一问题	和平统一问题
国家安全战略	国防战略
蜕化变质	腐败
科技领域	科研领域
气象资料处理	气象资料加工
财产所有权	产权
统一战线理论	统战理论
军事制度研究	军制研究
葬法	丧葬
花房效应	温室效应
主题词表	叙词表
国家军事领导体制	国防领导体制
电讯	电信
特资	特种物资
客运船	客船
军事科学研究机构	军事科研机构
牙商	中介
基建贷款	基本建设贷款
养老院	敬老院
违犯政治纪律	违反政治纪律
社会团体	社团
农机	农业机械
试制计划	研制计划
沿海捕捞	近海捕捞
武器采购	武器装备采购
能源林	薪炭林
防暑降温	中暑预防
情报检索	检索
无霜冻期	无霜期
大气保温效应	温室效应
乘警(航运)	港航警察
铁路道口	道口
能交基金	能源交通基金
盘货	盘点
会议材料	会议资料
考察报告	调查报告
行政记大过	记大过
专审	专项审计
军警纠纷	军地纠纷
比丘	和尚
盐田地	盐田用地
动员部队	预备役部队
军委纪律检查委员金	军队纪律检查委员会
化工	化学工业
录像器材	录像设备
旅客机	客机
地方病预防	地方病防治
证券交易中心	证券交易所
奥林匹克运动会	奥运会
百家争鸣	双百方针
军种	军兵种
消减	裁减
违规行为	违反规定
空中情况处置	空情处置
军费	国防费
工业白蚁	工业间谍
浴室	淋浴设施
旅游林	风景林
汪伪档案	汪伪政权档案
劳动改造	劳改
税目	税种
军队史	军史
内线关系	内线
原子能	核能	核能源
沙暴	沙尘暴
造船工业	船舶工业
测试仪	测试仪器
中央组织部	中组部
为政清廉	廉政
信函	信件
军队纪律教育	军纪教育
适龄青年	役龄青年
坏账	呆账
冻害	冻灾
水产业	渔业
交接书	交接文据
功勋奖章	勋章
电子反侦察	反电子侦察
现代化战争	现代战争
武警服装	警服
归国华侨	归侨
民用航空	民航
名词术语	术语
IT业	信息产业
研究试验费	科研试验费
工业品	工业产品
审计准则	审计标准
战备预案	战备方案
外交使节	外交官员
塑料大棚	塑料拱棚
军队群众工作部门	军队群工部门
工业搬迁	工业疏散
学生联合会	学联
押解罪犯	武装押解
寺院	寺庙
人身自由权	人身权
行政管理法	行政法
历史唯物论	历史唯物主义
快递业务	速递业务
调水	水资源调度
全面调查	普查
造型艺术	美术
特区	特别行政区
民盟	中国民主同盟
县人民法院	基层人民法院
党内法规	党规
港资企业	港澳台商企业
防务开支	国防支出
后勤自动化指挥系统	后勤指挥自动化系统
荣誉军人	残疾军人
地面站设备	地球站设备
税收对象	科税对象
计划收购	统购
军费支出	国防支出
议事日程	议程
批发价格	批发价
国家民族事务委员会	国家民委
技术职务	专业技术职务
基建	基本建设
综合安全保障战略	国家战略
边民	边境居民
中国工农红军	红军
运动馆	体育馆
晾晒烟叶	晾晒烟
印度支那问题	印支问题
邮费	邮政资费
运输力	运输能力
强热带风暴	台风
试飞	飞行试验
国家形式	政治制度
距离测量	测距
沉船	沉船事故
住宿业	旅馆业
防汛	防洪
情报检索语言	检索语言
边境地区	边境
革命烈士	烈士
配合	合作
石油化工	石油化学工业
物资流通	物资交流
黄毛风	沙尘暴
需求调节	供需调节
代议制	议会制
士兵	兵
船只	船舶
民族习俗	民族风俗
币制	货币制度
人民防空指挥部	人防指挥部
军工	国防工业
狱证管理	监狱管理
龙吊水	水龙卷
定容气球	定高气球
增殖业务	增值业务
可转换债	转换债券
干旱灾害	旱灾
社会情况动态	社会动态
残儿	残疾儿童
统一销售	统销
海潮	潮汐
押解囚犯	武装押解
纺织业	纺织工业
军事法律	军事法
采油设备	油气开采设备
居委会	居民委员会
中央对外联络部	中联部
施政报告	工作报告
特派员办公室	特派办
政府审计	国家审计
电子支援措施	电子对抗支援侦察
政法	政法工作
护林防火	森林防火
出霉	出梅
无线寻呼	无线寻呼业务
货场	货栈
国庆	国庆节
热核战争	核战争
伤残等级评定	伤病残评定
指挥控制通信系统	C3系统
旅游卫生	旅游保健
演出证	演出许可证
电视文学	影视文学
国有参股	国有股
防空袭系统	防空系统
白害	雪灾
防范	防范措施
案件审理	案审
关税及贸易总协定	世界贸易组织
农膜	农用薄膜
立梅	入梅
撤销案件	销案
军械	军械装备
民防工事	民防工程
风灾	风害
深海捕捞	远洋捕捞
武器装备事故	装备事故
文件种类	文种
风景游	山水旅游
学习先进	学先进活动
财产权	产权
战功奖章	军功章
组织干部纪检	军纪
副作用	药物不良反应
国防白皮书	国防报告
国民经济动员	经济动员
侨办	侨务办公室
军事理论、学术	边境战争
潜艇发射导弹	潜射导弹
债务凭证	债券
中央书记处	书记处
处置突发事件任务划分	处突任务
殖民战争	侵略战争
军事通信联络	军事通信
细菌防护	生物武器防护
轮换作战	轮战
税务收入	税收
伤残军人	残疾军人
财会	财务会计
传媒	媒体
森警	森林警察
葱头	洋葱
战备交通建设	交通战备建设
计算利息	计息
高技术兵路	高技术武器
出巡	巡视
台消回归祖国问题	和平统一问题
邮政运输网	邮运网
契约	合同
煤转换	煤转化
传真通信	传真
邮运网点	邮政运输网点
内政	国内政治
武警部队勤务	武警勤务
林彪叛逃事件	九一三事件
股份制公司	股份公司
收受贿赂	受贿
军事犯罪人	军事罪犯
基本建设投资	基建投资
空间无线电通信	卫星通信
编辑(业务)	编辑工作
红潮	赤潮	赤湖
运价	运输价格
营区警卫	军营警卫
以权谋私	以权谋私行为
报亏	盘亏
公款公物请客送礼	请客送札
软件	软件开发
智能武器	重武器
法制	法律制度
外国军队研究	外军研究
排雷	扫雷
预先电子对抗侦察	电子对抗情报侦察
军婚	军人婚姻
民建	中国民主建国会
外国武装力量	外军
转基因	基因转移
下渗	入渗
体制创新	体制改革
后方勤务指挥	后勤指挥
工作经验	经验
光学对抗侦察	光电对抗侦察
粮食收储	粮食储备
军地关系	军政关系
第二炮兵专用装备	二炮专用装备
传染性非典型肺炎	非典
人犯	犯罪嫌疑人
农产品贸易	农贸
干燥因子	干燥指数
国货	本国商品
武器装备规划	武器装备发展规划
运量	运输量
高技术产业	高新技术产业
海外侨胞	华侨
科研课题	科研项目
航空运输	空中运输
免于起诉决定书	免于起诉书
合作经营企业	合作企业
法律监督机关	国家检察机关
三八妇女节	国际劳动妇女节
价格改革	物价改革
法警	司法警察
洋流	海流
军风纪	军容风纪
地面保障设备	地面设备
空气污染气象学	污染气象学
诽谤	诬陷
大规模毁灭性武器	大规模杀伤性武器
科教兴省	科教兴国战略
正常体制	平时体制
人事	人事工作
平息闹事	制止闹事
军队指挥自动化	指挥自动化
倒卖	倒买倒卖
邮电通信	邮电
蜂窝网	蜂窝式移动通信网
抄件	抄送件
犯罪分子	罪犯
交换机	电话交换机
党纪检查	纪检
装备保障、管理	报废装备
现金计划	现金收支计划
文艺批评	文艺评论
民谣	民歌
电子购买	电子采购
处置突发事件命令	处突命令
海上战役	海军战役
学先进	学先进活动
敌伪档案	旧政权档案
冒险旅游	探险旅游
药厂	制药厂
三军统供	联勤
政府机构	政府部门
安定性	稳定性
远景	发展趋势
领航	导航
白毛风	雪暴
市场调控	市场调节
经济体制改革办公室	体改办
地球环境产业	环保产业
技术力量	科技力量
投案	投案自首
税收征收管理法	税收征管法
离休金	离休费
废品回收	废旧物资回收
中国共产党中央委员会	中共中央
人民政协	政协
测试仪表	测试仪器
农村人口	农业人口
购买能力	购买力
体操	体操运动
国家机关	国家机构
强权政治	霸权主义
技术出口	技术转让
流域综合规划	流域规划
放射战	核战争
洋行	银行
新技术	高新技术
治理经济环境	经济环境治理
严重急性呼吸综合症	非典
人民防空经费	人防经费
专业人才	专家
传染病防治	传染病控制
