序 号,出货条码,品名,规格,单位,:销售数量,售价,:销售金额,:毛利,:毛利率％,:成本金额,商品库存,最新货商
372,154298,卷筒青,,公斤,175.19,2.4,506.85,506.84,100,0,-6132.526,5073
373,154299,芥菜,,扎,929,2,2072.5,2072.5,100,0,-16952,5073
374,154300,上海青,,扎,435,1.8,654.4,654.4,100,0,-10524,5073
375,154302,菠菜,,扎,402,2.8,948.1,948.1,100,0,-7369,5073
376,154304,椰菜,,公斤,91.48,2,163.12,163.09,100,0,-3739.643,5073
377,154305,芥菜心,,扎,5,2.5,12.5,12.5,100,0,-399,5073
378,154307,奶白菜,,扎,97,2,205.4,205.4,100,0,-2823,5073
379,154308,春菜,,扎,460,2.3,1115.4,1115.4,100,0,-14154,5073
380,154309,小白菜,,扎,101,2.3,265.8,265.8,100,0,-3635,5073
381,154313,快菜,,扎,292,2.5,593.5,593.5,100,0,-9692.456,5073
382,154314,枸杞菜,,扎,291,2.5,792.3,792.3,100,0,-2587.266,5073
383,154315,枸肝菜,,公斤,6.28,14,87.93,87.95,100,0,-411.294,5073
384,154316,白花菜,,扎,249,2,498,498,100,0,-1713,5073
385,154319,假蒌,,扎,4,0.3,1.2,1.2,99.99,0,-39,5073
386,154320,紫苏,,扎,15,0.5,7.5,7.5,100,0,-1653,5073
387,154321,香菜,,扎,595,0.5,342.5,342.5,100,0,-20522,5073
388,154322,韭菜,,扎,383,1.5,783.5,783.5,100,0,-9682,5073
389,154323,韭菜花,,扎,218,3.5,763,763,100,0,-2714,5073
390,154325,青蒜,,扎,79,2.5,197.5,197.5,100,0,-2623,5073
391,154326,韭黄,,扎,50,3.5,188,188,100,0,-1094,5073
392,154327,蒜心,,扎,271,2.5,844,844,100,0,-1610,5073
393,154328,西芹,,公斤,88.33,5,317.85,317.82,100,0,-1096.192,5073
394,154329,香芹,,扎,296,2,713.5,713.5,100,0,-7443,5073
395,154330,香葱,,扎,1519,0.5,877.3,877.3,100,0,-44538,5073
396,154331,西兰花,,公斤,139.94,6,954.8,954.8,100,0,-1804.914,5073
397,154332,椰菜花,,公斤,101.78,4,355.62,355.66,100,0,-1287.991,5073
398,154333,芥兰花,,扎,226,2.8,713.3,713.3,100,0,-3349.366,5073
399,154335,高山娃娃菜,,盒,292,3.5,983.3,983.3,100,0,-4314,5073
400,154336,千里香,,公斤,0.49,30,14.76,14.76,100,0,-23.23,5073
401,154337,黄豆芽,,公斤,181.44,3,544.29,544.31,100,0,-5239.522,5073
402,154338,绿豆芽,,公斤,212.26,3,636.73,636.77,100,0,-4116.196,5073
403,154339,好人家精品蔬菜1,,盒,467,2.5,1167.5,1167.5,100,0,-18349,5073
404,154340,青尖椒,,公斤,94.41,5,640.53,640.54,100,0,-2452.948,5073
405,154341,草茹,,公斤,0.21,17,3.5,3.5,100,0,-1.812,5073
406,154342,灯笼椒,,公斤,76.13,4.6,416.35,416.31,100,0,-1045.246,5073
407,154344,好人家精品蔬菜2,,盒,1180,3,3540,3540,100,0,-18934,5073
408,154346,青豆,,公斤,43.78,7,306.47,306.49,100,0,-951.25,5073
409,154347,冬豆,,公斤,60.77,7,425.37,425.42,100,0,-961.773,5073
410,154350,荷兰豆,,公斤,1.09,5,5.44,5.44,100,0,-1.722,5073
411,154356,绞股兰菜,,公斤,0.15,14,2.1,2.1,100,0,-1.406,5073
412,154357,西红柿,,公斤,194.19,5,831.58,831.49,100,0,-5862.148,5073
413,154358,西葫芦,,公斤,90.01,4,373.91,373.94,100,0,-1774.841,5073
414,154360,苦瓜,,公斤,108.55,7,1121.09,1121.14,100,0,-5385.493,5073
415,154362,青瓜,,公斤,390.23,2.4,1312.24,1312.31,100,0,-6852.274,5073
416,154363,茄子,,公斤,127.31,4.4,802.72,802.78,100,0,-3041.893,5073
417,154364,丝瓜,,公斤,0.54,7,2.7,2.7,100,0,-2321.545,5073
418,154365,水瓜,,公斤,27.71,7.6,218.64,218.62,100,0,-37.882,5073
419,154366,台湾甜玉米,,公斤,289.28,6,1584.4,1584.36,100,0,-6968.582,5073
420,154367,节瓜,,公斤,68.53,3.6,340.07,340.06,100,0,-5801.402,5073
